"","STU_ID","BYSTUWT","BYSTU1","BYSTU2","BYSTU3","BYSTU4","BYSTU5","BYSTU6","BYSTU7","BYSTU8","BYSTU9","BYSTU10","BYSTU11","BYSTU12","BYSTU13","BYSTU14","BYSTU15","BYSTU16","BYSTU17","BYSTU18","BYSTU19","BYSTU20","BYSTU21","BYSTU22","BYSTU23","BYSTU24","BYSTU25","BYSTU26","BYSTU27","BYSTU28","BYSTU29","BYSTU30","BYSTU31","BYSTU32","BYSTU33","BYSTU34","BYSTU35","BYSTU36","BYSTU37","BYSTU38","BYSTU39","BYSTU40","BYSTU41","BYSTU42","BYSTU43","BYSTU44","BYSTU45","BYSTU46","BYSTU47","BYSTU48","BYSTU49","BYSTU50","BYSTU51","BYSTU52","BYSTU53","BYSTU54","BYSTU55","BYSTU56","BYSTU57","BYSTU58","BYSTU59","BYSTU60","BYSTU61","BYSTU62","BYSTU63","BYSTU64","BYSTU65","BYSTU66","BYSTU67","BYSTU68","BYSTU69","BYSTU70","BYSTU71","BYSTU72","BYSTU73","BYSTU74","BYSTU75","BYSTU76","BYSTU77","BYSTU78","BYSTU79","BYSTU80","BYSTU81","BYSTU82","BYSTU83","BYSTU84","BYSTU85","BYSTU86","BYSTU87","BYSTU88","BYSTU89","BYSTU90","BYSTU91","BYSTU92","BYSTU93","BYSTU94","BYSTU95","BYSTU96","BYSTU97","BYSTU98","BYSTU99","BYSTU100","BYSTU101","BYSTU102","BYSTU103","BYSTU104","BYSTU105","BYSTU106","BYSTU107","BYSTU108","BYSTU109","BYSTU110","BYSTU111","BYSTU112","BYSTU113","BYSTU114","BYSTU115","BYSTU116","BYSTU117","BYSTU118","BYSTU119","BYSTU120","BYSTU121","BYSTU122","BYSTU123","BYSTU124","BYSTU125","BYSTU126","BYSTU127","BYSTU128","BYSTU129","BYSTU130","BYSTU131","BYSTU132","BYSTU133","BYSTU134","BYSTU135","BYSTU136","BYSTU137","BYSTU138","BYSTU139","BYSTU140","BYSTU141","BYSTU142","BYSTU143","BYSTU144","BYSTU145","BYSTU146","BYSTU147","BYSTU148","BYSTU149","BYSTU150","BYSTU151","BYSTU152","BYSTU153","BYSTU154","BYSTU155","BYSTU156","BYSTU157","BYSTU158","BYSTU159","BYSTU160","BYSTU161","BYSTU162","BYSTU163","BYSTU164","BYSTU165","BYSTU166","BYSTU167","BYSTU168","BYSTU169","BYSTU170","BYSTU171","BYSTU172","BYSTU173","BYSTU174","BYSTU175","BYSTU176","BYSTU177","BYSTU178","BYSTU179","BYSTU180","BYSTU181","BYSTU182","BYSTU183","BYSTU184","BYSTU185","BYSTU186","BYSTU187","BYSTU188","BYSTU189","BYSTU190","BYSTU191","BYSTU192","BYSTU193","BYSTU194","BYSTU195","BYSTU196","BYSTU197","BYSTU198","BYSTU199","BYSTU200"
"11",101112,30.2245,85.8697,48.7996,0,36.51,83.6885,0,61.6311,0,0,53.8894,0,0,61.3633,0,0,0,76.1667,0,0,54.7706,57.3613,54.4724,0,73.4855,64.7935,0,40.9549,0,0,0,51.8715,0,0,0,0,0,62.7907,78.2294,0,0,0,37.4777,95.262,0,0,0,0,0,0,47.0619,69.9176,56.4603,0,61.9437,0,63.6811,46.498,59.9115,88.9794,65.9931,54.6957,0,0,0,82.6356,70.8214,72.1745,60.5229,0,73.2166,43.1534,0,0,0,0,56.081,0,40.1273,38.6674,36.5937,0,67.2951,0,67.4339,0,0,0,60.6651,0,60.1004,86.2098,96.3915,39.7429,0,0,60.3161,0,0,0,0,48.4284,78.7436,52.8336,0,0,0,0,0,0,80.1076,0,46.6036,0,0,0,56.9103,72.0885,46.8535,73.3659,44.8512,51.5903,0,0,71.9083,45.2992,62.443,0,0,81.7849,51.4656,52.4811,82.6125,75.3211,0,56.6287,47.1716,35.1334,0,59.8431,0,0,63.1408,0,0,0,48.5568,61.2277,0,52.4958,63.5964,65.1215,0,46.8529,37.3906,0,36.0918,53.5633,0,51.1149,0,0,48.9274,0,46.2339,0,45.3412,0,59.5633,88.8425,0,0,66.4811,62.6374,53.8796,72.6933,0,50.3392,43.4791,0,55.1385,48.96,0,0,0,58.9123,0,0,91.3215,0,0,0,0,103.2004,41.4791,0,0,51.9607,0,61.9596,0
"12",101113,178.9513,509.4685,300.4912,0,215.7246,428.1248,0,359.948,0,0,308.5592,0,0,396.0199,0,0,0,465.2896,0,0,341.3047,355.6938,325.3658,0,408.4333,417.6846,0,234.1372,0,0,0,309.7339,0,0,0,0,0,380.5911,525.5447,0,0,0,223.0677,569.0161,0,0,0,0,0,0,304.2653,422.0088,368.3189,0,331.301,0,394.1627,303.5957,347.8619,526.0564,456.4029,328.5033,0,0,0,479.0636,373.2216,390.6075,404.0626,0,452.6264,248.1423,0,0,0,0,354.7604,0,241.34,224.4036,224.61,0,439.4284,0,388.7206,0,0,0,349.1672,0,359.1573,536.5872,525.0356,254.9812,0,0,328.751,0,0,0,0,283.217,376.9008,327.3463,0,0,0,0,0,0,469.7776,0,301.9382,0,0,0,341.1394,441.179,301.6481,445.8154,252.0007,294.5154,0,0,419.6945,298.3623,391.3567,0,0,474.6626,293.9665,336.7013,452.7156,420.7929,0,324.4442,290.2056,219.5163,0,397.5671,0,0,384.2225,0,0,0,302.9531,358.3942,0,335.2457,388.92,381.0924,0,287.6525,222.7209,0,233.3586,332.2771,0,291.7184,0,0,270.8151,0,275.8115,0,275.3794,0,333.0998,555.4108,0,0,401.6599,366.4831,323.3023,411.1361,0,306.1261,275.0322,0,319.3797,303.5288,0,0,0,362.8415,0,0,483.5557,0,0,0,0,562.0582,244.1061,0,0,289.7815,0,369.8674,0
"13",101114,235.7822,716.1214,395.3238,0,267.3812,619.8569,0,445.687,0,0,423.528,0,0,483.0236,0,0,0,605.7918,0,0,429.7852,454.6341,427.8428,0,497.5067,542.9191,0,347.0905,0,0,0,385.6847,0,0,0,0,0,458.5016,726.9266,0,0,0,308.5036,753.3495,0,0,0,0,0,0,352.9663,599.56,466.6076,0,483.3225,0,528.3721,386.4147,440.8754,766.359,573.2077,417.0464,0,0,0,641.9791,534.9337,531.8056,497.8799,0,581.1571,353.7354,0,0,0,0,410.6212,0,301.5518,276.9858,272.3286,0,534.6593,0,563.7423,0,0,0,470.7036,0,462.9589,739.8253,727.9898,305.351,0,0,442.2179,0,0,0,0,368.4619,548.61,435.4319,0,0,0,0,0,0,642.5935,0,384.0536,0,0,0,464.5868,555.0841,370.0094,618.8422,347.8256,383.5457,0,0,560.1137,359.7628,492.218,0,0,661.6981,376.8536,448.9073,688.4753,570.9873,0,405.9571,398.3642,278.4174,0,559.5651,0,0,484.0401,0,0,0,372.9455,488.0721,0,413.1005,520.2108,499.1448,0,371.5734,291.4241,0,301.1581,404.9276,0,391.8238,0,0,345.5678,0,342.3949,0,349.0677,0,424.4175,701.8108,0,0,524.1765,447.8751,393.8475,539.4114,0,437.0133,356.5351,0,417.3399,375.0092,0,0,0,473.329,0,0,715.7864,0,0,0,0,804.2395,320.8151,0,0,378.1681,0,481.9652,0
"14",101115,30.2245,85.8697,48.7996,0,36.51,83.6885,0,61.6311,0,0,53.8894,0,0,61.3633,0,0,0,76.1667,0,0,54.7706,57.3613,54.4724,0,73.4855,64.7935,0,40.9549,0,0,0,51.8715,0,0,0,0,0,62.7907,78.2294,0,0,0,37.4777,95.262,0,0,0,0,0,0,47.0619,69.9176,56.4603,0,61.9437,0,63.6811,46.498,59.9115,88.9794,65.9931,54.6957,0,0,0,82.6356,70.8214,72.1745,60.5229,0,73.2166,43.1534,0,0,0,0,56.081,0,40.1273,38.6674,36.5937,0,67.2951,0,67.4339,0,0,0,60.6651,0,60.1004,86.2098,96.3915,39.7429,0,0,60.3161,0,0,0,0,48.4284,78.7436,52.8336,0,0,0,0,0,0,80.1076,0,46.6036,0,0,0,56.9103,72.0885,46.8535,73.3659,44.8512,51.5903,0,0,71.9083,45.2992,62.443,0,0,81.7849,51.4656,52.4811,82.6125,75.3211,0,56.6287,47.1716,35.1334,0,59.8431,0,0,63.1408,0,0,0,48.5568,61.2277,0,52.4958,63.5964,65.1215,0,46.8529,37.3906,0,36.0918,53.5633,0,51.1149,0,0,48.9274,0,46.2339,0,45.3412,0,59.5633,88.8425,0,0,66.4811,62.6374,53.8796,72.6933,0,50.3392,43.4791,0,55.1385,48.96,0,0,0,58.9123,0,0,91.3215,0,0,0,0,103.2004,41.4791,0,0,51.9607,0,61.9596,0
"15",101116,30.2245,85.8697,48.7996,0,36.51,83.6885,0,61.6311,0,0,53.8894,0,0,61.3633,0,0,0,76.1667,0,0,54.7706,57.3613,54.4724,0,73.4855,64.7935,0,40.9549,0,0,0,51.8715,0,0,0,0,0,62.7907,78.2294,0,0,0,37.4777,95.262,0,0,0,0,0,0,47.0619,69.9176,56.4603,0,61.9437,0,63.6811,46.498,59.9115,88.9794,65.9931,54.6957,0,0,0,82.6356,70.8214,72.1745,60.5229,0,73.2166,43.1534,0,0,0,0,56.081,0,40.1273,38.6674,36.5937,0,67.2951,0,67.4339,0,0,0,60.6651,0,60.1004,86.2098,96.3915,39.7429,0,0,60.3161,0,0,0,0,48.4284,78.7436,52.8336,0,0,0,0,0,0,80.1076,0,46.6036,0,0,0,56.9103,72.0885,46.8535,73.3659,44.8512,51.5903,0,0,71.9083,45.2992,62.443,0,0,81.7849,51.4656,52.4811,82.6125,75.3211,0,56.6287,47.1716,35.1334,0,59.8431,0,0,63.1408,0,0,0,48.5568,61.2277,0,52.4958,63.5964,65.1215,0,46.8529,37.3906,0,36.0918,53.5633,0,51.1149,0,0,48.9274,0,46.2339,0,45.3412,0,59.5633,88.8425,0,0,66.4811,62.6374,53.8796,72.6933,0,50.3392,43.4791,0,55.1385,48.96,0,0,0,58.9123,0,0,91.3215,0,0,0,0,103.2004,41.4791,0,0,51.9607,0,61.9596,0
"16",101117,256.9656,809.3578,427.2782,0,281.4128,683.9219,0,469.0303,0,0,462.8433,0,0,521.1605,0,0,0,695.1576,0,0,450.202,467.1362,459.9619,0,532.7445,592.0451,0,366.0011,0,0,0,411.3351,0,0,0,0,0,493.9062,784.824,0,0,0,324.8779,809.2219,0,0,0,0,0,0,375.5906,635.0478,507.1797,0,547.3184,0,556.2638,410.7541,455.773,838.6849,634.9519,449.0889,0,0,0,701.9648,586.6382,585.4885,549.4296,0,653.8512,408.8203,0,0,0,0,423.9511,0,317.4996,291.8365,287.5778,0,563.5186,0,582.4848,0,0,0,530.0314,0,487.9868,783.1126,794.0822,314.7986,0,0,476.6985,0,0,0,0,398.6608,630.7449,481.3668,0,0,0,0,0,0,691.5049,0,412.4907,0,0,0,507.122,586.0217,406.1312,648.296,381.033,417.8014,0,0,601.1264,370.3743,514.9059,0,0,721.8135,392.719,469.1925,743.5473,578.1126,0,443.2649,434.6399,300.8213,0,613.1611,0,0,514.4353,0,0,0,418.5949,555.1345,0,430.4579,533.8858,547.3006,0,398.487,322.4503,0,321.2295,428.1642,0,416.1341,0,0,371.4519,0,358.1728,0,364.0129,0,452.4716,753.7221,0,0,532.8187,474.6693,427.3092,579.4953,0,455.9771,369.2328,0,444.9955,406.0038,0,0,0,528.8672,0,0,773.1146,0,0,0,0,886.3676,357.7116,0,0,408.0621,0,502.9327,0
"17",101118,235.7822,716.1214,395.3238,0,267.3812,619.8569,0,445.687,0,0,423.528,0,0,483.0236,0,0,0,605.7918,0,0,429.7852,454.6341,427.8428,0,497.5067,542.9191,0,347.0905,0,0,0,385.6847,0,0,0,0,0,458.5016,726.9266,0,0,0,308.5036,753.3495,0,0,0,0,0,0,352.9663,599.56,466.6076,0,483.3225,0,528.3721,386.4147,440.8754,766.359,573.2077,417.0464,0,0,0,641.9791,534.9337,531.8056,497.8799,0,581.1571,353.7354,0,0,0,0,410.6212,0,301.5518,276.9858,272.3286,0,534.6593,0,563.7423,0,0,0,470.7036,0,462.9589,739.8253,727.9898,305.351,0,0,442.2179,0,0,0,0,368.4619,548.61,435.4319,0,0,0,0,0,0,642.5935,0,384.0536,0,0,0,464.5868,555.0841,370.0094,618.8422,347.8256,383.5457,0,0,560.1137,359.7628,492.218,0,0,661.6981,376.8536,448.9073,688.4753,570.9873,0,405.9571,398.3642,278.4174,0,559.5651,0,0,484.0401,0,0,0,372.9455,488.0721,0,413.1005,520.2108,499.1448,0,371.5734,291.4241,0,301.1581,404.9276,0,391.8238,0,0,345.5678,0,342.3949,0,349.0677,0,424.4175,701.8108,0,0,524.1765,447.8751,393.8475,539.4114,0,437.0133,356.5351,0,417.3399,375.0092,0,0,0,473.329,0,0,715.7864,0,0,0,0,804.2395,320.8151,0,0,378.1681,0,481.9652,0
"18",101119,178.9513,509.4685,300.4912,0,215.7246,428.1248,0,359.948,0,0,308.5592,0,0,396.0199,0,0,0,465.2896,0,0,341.3047,355.6938,325.3658,0,408.4333,417.6846,0,234.1372,0,0,0,309.7339,0,0,0,0,0,380.5911,525.5447,0,0,0,223.0677,569.0161,0,0,0,0,0,0,304.2653,422.0088,368.3189,0,331.301,0,394.1627,303.5957,347.8619,526.0564,456.4029,328.5033,0,0,0,479.0636,373.2216,390.6075,404.0626,0,452.6264,248.1423,0,0,0,0,354.7604,0,241.34,224.4036,224.61,0,439.4284,0,388.7206,0,0,0,349.1672,0,359.1573,536.5872,525.0356,254.9812,0,0,328.751,0,0,0,0,283.217,376.9008,327.3463,0,0,0,0,0,0,469.7776,0,301.9382,0,0,0,341.1394,441.179,301.6481,445.8154,252.0007,294.5154,0,0,419.6945,298.3623,391.3567,0,0,474.6626,293.9665,336.7013,452.7156,420.7929,0,324.4442,290.2056,219.5163,0,397.5671,0,0,384.2225,0,0,0,302.9531,358.3942,0,335.2457,388.92,381.0924,0,287.6525,222.7209,0,233.3586,332.2771,0,291.7184,0,0,270.8151,0,275.8115,0,275.3794,0,333.0998,555.4108,0,0,401.6599,366.4831,323.3023,411.1361,0,306.1261,275.0322,0,319.3797,303.5288,0,0,0,362.8415,0,0,483.5557,0,0,0,0,562.0582,244.1061,0,0,289.7815,0,369.8674,0
"19",101120,620.1837,1403.2861,1097.8174,0,790.4191,1394.036,0,1124.1606,0,0,1073.1945,0,0,1246.4629,0,0,0,1303.2595,0,0,1190.8389,1083.5179,1063.0573,0,1205.7731,1142.246,0,907.0951,0,0,0,928.0383,0,0,0,0,0,960.3122,1395.7038,0,0,0,819.6911,1208.1284,0,0,0,0,0,0,943.1843,1253.9468,1151.0061,0,1008.0376,0,1115.0992,966.6577,1178.2221,1381.2704,1211.9657,1162.591,0,0,0,1190.7801,1345.5933,1264.0775,1147.3302,0,1289.6306,873.4637,0,0,0,0,1316.9596,0,834.4473,783.9966,742.1008,0,1179.7722,0,1054.5748,0,0,0,1080.1522,0,1176.8605,1053.9869,1279.4935,830.7582,0,0,1060.1791,0,0,0,0,890.9481,1356.5905,1059.1167,0,0,0,0,0,0,1274.1035,0,918.1662,0,0,0,1166.0353,1201.9379,923.7963,1343.5198,871.6557,902.4905,0,0,1588.0632,1001.5418,1228.5051,0,0,1175.4044,1101.2861,1192.0398,1469.7951,1258.5121,0,1109.3691,964.1936,771.941,0,1333.8051,0,0,1191.9903,0,0,0,984.7895,1165.6453,0,1042.4407,1155.4414,1352.062,0,972.9766,776.9011,0,854.1726,954.899,0,1000.9004,0,0,1061.4412,0,992.4118,0,978.5625,0,1082.2931,1308.4061,0,0,1269.0262,1206.8466,1178.6953,1197.6885,0,1136.5247,956.1067,0,1086.2958,941.3936,0,0,0,1240.5787,0,0,1151.3782,0,0,0,0,1345.297,823.2882,0,0,1199.9025,0,1073.235,0
"20",101121,28.2951,77.6987,46.0437,0,34.7971,76.6667,0,58.5376,0,0,50.376,0,0,57.4601,0,0,0,68.0944,0,0,52.7906,56.1279,51.1369,0,68.2897,61.078,0,39.3278,0,0,0,48.7909,0,0,0,0,0,58.384,72.1732,0,0,0,36.1444,90.2902,0,0,0,0,0,0,44.4942,66.1416,52.9469,0,54.9397,0,61.0395,44.3175,58.0192,82.6845,60.6874,51.3755,0,0,0,75.749,64.9841,66.3139,55.6595,0,67.367,38.9294,0,0,0,0,54.3871,0,38.3633,36.6586,34.8491,0,64.0618,0,64.9908,0,0,0,55.4764,0,57.5123,81.814,88.9938,38.7381,0,0,56.4121,0,0,0,0,45.0861,69.152,48.4803,0,0,0,0,0,0,75.1189,0,43.6174,0,0,0,53.2325,69.4059,43.36,70.7115,41.8336,47.5586,0,0,68.2606,44.4295,60.2164,0,0,76.6802,49.6207,51.0328,77.6996,74.3986,0,52.0387,43.9938,33.2748,0,56.0743,0,0,60.5786,0,0,0,44.3778,55.5192,0,51.0994,62.3039,60.5131,0,44.6926,34.5094,0,34.7234,50.8047,0,48.4874,0,0,45.4428,0,44.3863,0,43.9083,0,55.8308,84.2661,0,0,65.5298,59.1819,50.207,68.0001,0,48.556,42.4148,0,52.5018,45.5463,0,0,0,54.0744,0,0,85.1067,0,0,0,0,93.7721,38.1305,0,0,48.5076,0,59.5925,0
"21",101122,192.4304,565.6863,322.0004,0,226.0495,461.3461,0,377.0238,0,0,330.732,0,0,426.4577,0,0,0,529.6931,0,0,353.5974,363.0228,345.6992,0,436.3505,453.7401,0,242.841,0,0,0,329.0037,0,0,0,0,0,408.743,568.642,0,0,0,230.9711,603.0734,0,0,0,0,0,0,325.8029,443.6962,400.7096,0,371.2054,0,411.9825,324.9337,358.6402,569.9242,506.3072,350.9494,0,0,0,515.239,402.6152,417.2146,444.2183,0,503.7523,277.1309,0,0,0,0,370.2819,0,252.6624,235.4512,237.1914,0,459.1514,0,401.637,0,0,0,385.3464,0,375.1774,565.8028,565.0128,263.4923,0,0,346.1207,0,0,0,0,304.1394,422.2137,359.3223,0,0,0,0,0,0,500.1101,0,323.8311,0,0,0,367.8694,461.6859,330.1569,465.317,271.6328,317.5731,0,0,437.6796,309.0933,407.1421,0,0,508.1171,305.9766,349.2093,476.9878,426.4283,0,353.4511,313.3908,235.1668,0,431.0835,0,0,403.632,0,0,0,338.1327,398.5539,0,350.307,398.9721,412.4734,0,304.1439,242.9946,0,247.0427,350.4727,0,307.1323,0,0,285.5159,0,287.2458,0,284.8883,0,351.1281,597.0585,0,0,406.5331,390.9238,350.7963,437.0667,0,316.9129,282.9549,0,335.0184,329.1078,0,0,0,402.4067,0,0,514.8025,0,0,0,0,614.7166,268.1471,0,0,308.8531,0,384.4603,0
"22",101123,192.4304,565.6863,322.0004,0,226.0495,461.3461,0,377.0238,0,0,330.732,0,0,426.4577,0,0,0,529.6931,0,0,353.5974,363.0228,345.6992,0,436.3505,453.7401,0,242.841,0,0,0,329.0037,0,0,0,0,0,408.743,568.642,0,0,0,230.9711,603.0734,0,0,0,0,0,0,325.8029,443.6962,400.7096,0,371.2054,0,411.9825,324.9337,358.6402,569.9242,506.3072,350.9494,0,0,0,515.239,402.6152,417.2146,444.2183,0,503.7523,277.1309,0,0,0,0,370.2819,0,252.6624,235.4512,237.1914,0,459.1514,0,401.637,0,0,0,385.3464,0,375.1774,565.8028,565.0128,263.4923,0,0,346.1207,0,0,0,0,304.1394,422.2137,359.3223,0,0,0,0,0,0,500.1101,0,323.8311,0,0,0,367.8694,461.6859,330.1569,465.317,271.6328,317.5731,0,0,437.6796,309.0933,407.1421,0,0,508.1171,305.9766,349.2093,476.9878,426.4283,0,353.4511,313.3908,235.1668,0,431.0835,0,0,403.632,0,0,0,338.1327,398.5539,0,350.307,398.9721,412.4734,0,304.1439,242.9946,0,247.0427,350.4727,0,307.1323,0,0,285.5159,0,287.2458,0,284.8883,0,351.1281,597.0585,0,0,406.5331,390.9238,350.7963,437.0667,0,316.9129,282.9549,0,335.0184,329.1078,0,0,0,402.4067,0,0,514.8025,0,0,0,0,614.7166,268.1471,0,0,308.8531,0,384.4603,0
"23",101124,192.4304,565.6863,322.0004,0,226.0495,461.3461,0,377.0238,0,0,330.732,0,0,426.4577,0,0,0,529.6931,0,0,353.5974,363.0228,345.6992,0,436.3505,453.7401,0,242.841,0,0,0,329.0037,0,0,0,0,0,408.743,568.642,0,0,0,230.9711,603.0734,0,0,0,0,0,0,325.8029,443.6962,400.7096,0,371.2054,0,411.9825,324.9337,358.6402,569.9242,506.3072,350.9494,0,0,0,515.239,402.6152,417.2146,444.2183,0,503.7523,277.1309,0,0,0,0,370.2819,0,252.6624,235.4512,237.1914,0,459.1514,0,401.637,0,0,0,385.3464,0,375.1774,565.8028,565.0128,263.4923,0,0,346.1207,0,0,0,0,304.1394,422.2137,359.3223,0,0,0,0,0,0,500.1101,0,323.8311,0,0,0,367.8694,461.6859,330.1569,465.317,271.6328,317.5731,0,0,437.6796,309.0933,407.1421,0,0,508.1171,305.9766,349.2093,476.9878,426.4283,0,353.4511,313.3908,235.1668,0,431.0835,0,0,403.632,0,0,0,338.1327,398.5539,0,350.307,398.9721,412.4734,0,304.1439,242.9946,0,247.0427,350.4727,0,307.1323,0,0,285.5159,0,287.2458,0,284.8883,0,351.1281,597.0585,0,0,406.5331,390.9238,350.7963,437.0667,0,316.9129,282.9549,0,335.0184,329.1078,0,0,0,402.4067,0,0,514.8025,0,0,0,0,614.7166,268.1471,0,0,308.8531,0,384.4603,0
"24",101125,178.9513,509.4685,300.4912,0,215.7246,428.1248,0,359.948,0,0,308.5592,0,0,396.0199,0,0,0,465.2896,0,0,341.3047,355.6938,325.3658,0,408.4333,417.6846,0,234.1372,0,0,0,309.7339,0,0,0,0,0,380.5911,525.5447,0,0,0,223.0677,569.0161,0,0,0,0,0,0,304.2653,422.0088,368.3189,0,331.301,0,394.1627,303.5957,347.8619,526.0564,456.4029,328.5033,0,0,0,479.0636,373.2216,390.6075,404.0626,0,452.6264,248.1423,0,0,0,0,354.7604,0,241.34,224.4036,224.61,0,439.4284,0,388.7206,0,0,0,349.1672,0,359.1573,536.5872,525.0356,254.9812,0,0,328.751,0,0,0,0,283.217,376.9008,327.3463,0,0,0,0,0,0,469.7776,0,301.9382,0,0,0,341.1394,441.179,301.6481,445.8154,252.0007,294.5154,0,0,419.6945,298.3623,391.3567,0,0,474.6626,293.9665,336.7013,452.7156,420.7929,0,324.4442,290.2056,219.5163,0,397.5671,0,0,384.2225,0,0,0,302.9531,358.3942,0,335.2457,388.92,381.0924,0,287.6525,222.7209,0,233.3586,332.2771,0,291.7184,0,0,270.8151,0,275.8115,0,275.3794,0,333.0998,555.4108,0,0,401.6599,366.4831,323.3023,411.1361,0,306.1261,275.0322,0,319.3797,303.5288,0,0,0,362.8415,0,0,483.5557,0,0,0,0,562.0582,244.1061,0,0,289.7815,0,369.8674,0
"25",101126,28.2951,77.6987,46.0437,0,34.7971,76.6667,0,58.5376,0,0,50.376,0,0,57.4601,0,0,0,68.0944,0,0,52.7906,56.1279,51.1369,0,68.2897,61.078,0,39.3278,0,0,0,48.7909,0,0,0,0,0,58.384,72.1732,0,0,0,36.1444,90.2902,0,0,0,0,0,0,44.4942,66.1416,52.9469,0,54.9397,0,61.0395,44.3175,58.0192,82.6845,60.6874,51.3755,0,0,0,75.749,64.9841,66.3139,55.6595,0,67.367,38.9294,0,0,0,0,54.3871,0,38.3633,36.6586,34.8491,0,64.0618,0,64.9908,0,0,0,55.4764,0,57.5123,81.814,88.9938,38.7381,0,0,56.4121,0,0,0,0,45.0861,69.152,48.4803,0,0,0,0,0,0,75.1189,0,43.6174,0,0,0,53.2325,69.4059,43.36,70.7115,41.8336,47.5586,0,0,68.2606,44.4295,60.2164,0,0,76.6802,49.6207,51.0328,77.6996,74.3986,0,52.0387,43.9938,33.2748,0,56.0743,0,0,60.5786,0,0,0,44.3778,55.5192,0,51.0994,62.3039,60.5131,0,44.6926,34.5094,0,34.7234,50.8047,0,48.4874,0,0,45.4428,0,44.3863,0,43.9083,0,55.8308,84.2661,0,0,65.5298,59.1819,50.207,68.0001,0,48.556,42.4148,0,52.5018,45.5463,0,0,0,54.0744,0,0,85.1067,0,0,0,0,93.7721,38.1305,0,0,48.5076,0,59.5925,0
"26",101127,28.2951,77.6987,46.0437,0,34.7971,76.6667,0,58.5376,0,0,50.376,0,0,57.4601,0,0,0,68.0944,0,0,52.7906,56.1279,51.1369,0,68.2897,61.078,0,39.3278,0,0,0,48.7909,0,0,0,0,0,58.384,72.1732,0,0,0,36.1444,90.2902,0,0,0,0,0,0,44.4942,66.1416,52.9469,0,54.9397,0,61.0395,44.3175,58.0192,82.6845,60.6874,51.3755,0,0,0,75.749,64.9841,66.3139,55.6595,0,67.367,38.9294,0,0,0,0,54.3871,0,38.3633,36.6586,34.8491,0,64.0618,0,64.9908,0,0,0,55.4764,0,57.5123,81.814,88.9938,38.7381,0,0,56.4121,0,0,0,0,45.0861,69.152,48.4803,0,0,0,0,0,0,75.1189,0,43.6174,0,0,0,53.2325,69.4059,43.36,70.7115,41.8336,47.5586,0,0,68.2606,44.4295,60.2164,0,0,76.6802,49.6207,51.0328,77.6996,74.3986,0,52.0387,43.9938,33.2748,0,56.0743,0,0,60.5786,0,0,0,44.3778,55.5192,0,51.0994,62.3039,60.5131,0,44.6926,34.5094,0,34.7234,50.8047,0,48.4874,0,0,45.4428,0,44.3863,0,43.9083,0,55.8308,84.2661,0,0,65.5298,59.1819,50.207,68.0001,0,48.556,42.4148,0,52.5018,45.5463,0,0,0,54.0744,0,0,85.1067,0,0,0,0,93.7721,38.1305,0,0,48.5076,0,59.5925,0
"27",101128,30.2245,85.8697,48.7996,0,36.51,83.6885,0,61.6311,0,0,53.8894,0,0,61.3633,0,0,0,76.1667,0,0,54.7706,57.3613,54.4724,0,73.4855,64.7935,0,40.9549,0,0,0,51.8715,0,0,0,0,0,62.7907,78.2294,0,0,0,37.4777,95.262,0,0,0,0,0,0,47.0619,69.9176,56.4603,0,61.9437,0,63.6811,46.498,59.9115,88.9794,65.9931,54.6957,0,0,0,82.6356,70.8214,72.1745,60.5229,0,73.2166,43.1534,0,0,0,0,56.081,0,40.1273,38.6674,36.5937,0,67.2951,0,67.4339,0,0,0,60.6651,0,60.1004,86.2098,96.3915,39.7429,0,0,60.3161,0,0,0,0,48.4284,78.7436,52.8336,0,0,0,0,0,0,80.1076,0,46.6036,0,0,0,56.9103,72.0885,46.8535,73.3659,44.8512,51.5903,0,0,71.9083,45.2992,62.443,0,0,81.7849,51.4656,52.4811,82.6125,75.3211,0,56.6287,47.1716,35.1334,0,59.8431,0,0,63.1408,0,0,0,48.5568,61.2277,0,52.4958,63.5964,65.1215,0,46.8529,37.3906,0,36.0918,53.5633,0,51.1149,0,0,48.9274,0,46.2339,0,45.3412,0,59.5633,88.8425,0,0,66.4811,62.6374,53.8796,72.6933,0,50.3392,43.4791,0,55.1385,48.96,0,0,0,58.9123,0,0,91.3215,0,0,0,0,103.2004,41.4791,0,0,51.9607,0,61.9596,0
